,value,time,device
0,23,1650861231,AHT10humid
1,24,1650861832,AHT10humid
2,23,1650862433,AHT10humid
3,24,1650863034,AHT10humid
4,23,1650863635,AHT10humid
5,24,1650864236,AHT10humid
6,23,1650864837,AHT10humid
7,23,1650865438,AHT10humid
8,23,1650866039,AHT10humid
9,23,1650866641,AHT10humid
10,23,1650867242,AHT10humid
11,23,1650867843,AHT10humid
12,22,1650868444,AHT10humid
13,22,1650869045,AHT10humid
14,22,1650869646,AHT10humid
15,23,1650870247,AHT10humid
16,22,1650870848,AHT10humid
17,22,1650871450,AHT10humid
18,22,1650872051,AHT10humid
19,22,1650872652,AHT10humid
20,23,1650873253,AHT10humid
21,23,1650873854,AHT10humid
22,22,1650874455,AHT10humid
23,22,1650875056,AHT10humid
24,22,1650875657,AHT10humid
25,22,1650876258,AHT10humid
26,22,1650876859,AHT10humid
27,22,1650877461,AHT10humid
28,23,1650878062,AHT10humid
29,22,1650878663,AHT10humid
30,22,1650879264,AHT10humid
31,22,1650879865,AHT10humid
32,22,1650880466,AHT10humid
33,23,1650881067,AHT10humid
34,22,1650881669,AHT10humid
35,22,1650882270,AHT10humid
36,22,1650882871,AHT10humid
37,22,1650883473,AHT10humid
38,22,1650884074,AHT10humid
39,22,1650884675,AHT10humid
40,23,1650885276,AHT10humid
41,23,1650885877,AHT10humid
42,23,1650886478,AHT10humid
43,23,1650887079,AHT10humid
44,23,1650887680,AHT10humid
45,23,1650888281,AHT10humid
46,23,1650888883,AHT10humid
47,23,1650889484,AHT10humid
48,22,1650890085,AHT10humid
49,23,1650890686,AHT10humid
50,24,1650891287,AHT10humid
51,23,1650891888,AHT10humid
52,23,1650892489,AHT10humid
53,23,1650893090,AHT10humid
54,23,1650893691,AHT10humid
55,23,1650894293,AHT10humid
56,23,1650894894,AHT10humid
57,23,1650895495,AHT10humid
58,23,1650896096,AHT10humid
59,23,1650896697,AHT10humid
60,22,1650897298,AHT10humid
61,21,1650897899,AHT10humid
62,22,1650898500,AHT10humid
63,22,1650899101,AHT10humid
64,22,1650899702,AHT10humid
65,22,1650900304,AHT10humid
66,22,1650900905,AHT10humid
67,22,1650901506,AHT10humid
68,22,1650902107,AHT10humid
69,22,1650902708,AHT10humid
70,22,1650903309,AHT10humid
71,21,1650903910,AHT10humid
72,21,1650904511,AHT10humid
73,21,1650905112,AHT10humid
74,21,1650905714,AHT10humid
75,21,1650906315,AHT10humid
76,21,1650906916,AHT10humid
77,21,1650907517,AHT10humid
78,21,1650908118,AHT10humid
79,21,1650908719,AHT10humid
80,22,1650909320,AHT10humid
81,22,1650909921,AHT10humid
82,22,1650910523,AHT10humid
83,22,1650911124,AHT10humid
84,22,1650911725,AHT10humid
85,22,1650912326,AHT10humid
86,21,1650912927,AHT10humid
87,21,1650913528,AHT10humid
88,21,1650914129,AHT10humid
89,21,1650914731,AHT10humid
90,20,1650915332,AHT10humid
91,21,1650915933,AHT10humid
92,20,1650916535,AHT10humid
93,21,1650917136,AHT10humid
94,22,1650917737,AHT10humid
95,21,1650918338,AHT10humid
96,21,1650918939,AHT10humid
97,21,1650919540,AHT10humid
98,21,1650920141,AHT10humid
99,22,1650920742,AHT10humid
100,22,1650921343,AHT10humid
101,23,1650921945,AHT10humid
102,23,1650922546,AHT10humid
103,23,1650923147,AHT10humid
104,22,1650923748,AHT10humid
105,25,1650924349,AHT10humid
106,24,1650924950,AHT10humid
107,22,1650925551,AHT10humid
108,22,1650926152,AHT10humid
109,22,1650926754,AHT10humid
110,22,1650927355,AHT10humid
111,23,1650927956,AHT10humid
112,23,1650928557,AHT10humid
113,23,1650929158,AHT10humid
114,24,1650929759,AHT10humid
115,24,1650930360,AHT10humid
116,25,1650930961,AHT10humid
117,25,1650931562,AHT10humid
118,25,1650932164,AHT10humid
119,25,1650932765,AHT10humid
120,26,1650933366,AHT10humid
121,26,1650933967,AHT10humid
122,25,1650934568,AHT10humid
123,25,1650935169,AHT10humid
124,25,1650935770,AHT10humid
125,25,1650936371,AHT10humid
126,25,1650936972,AHT10humid
127,24,1650937573,AHT10humid
128,24,1650938175,AHT10humid
129,23,1650938776,AHT10humid
130,23,1650939377,AHT10humid
131,23,1650939978,AHT10humid
132,23,1650940579,AHT10humid
133,23,1650941180,AHT10humid
134,23,1650941781,AHT10humid
135,23,1650942382,AHT10humid
136,23,1650942983,AHT10humid
137,24,1650943585,AHT10humid
138,24,1650944186,AHT10humid
139,25,1650944787,AHT10humid
140,25,1650945388,AHT10humid
141,25,1650945989,AHT10humid
142,26,1650946590,AHT10humid
143,25,1650947192,AHT10humid
144,29,1650947793,AHT10humid
145,30,1650948394,AHT10humid
146,30,1650948995,AHT10humid
