,value,time,device
0,26,1650861231,AHT10temp
1,26,1650861832,AHT10temp
2,26,1650862433,AHT10temp
3,26,1650863034,AHT10temp
4,26,1650863635,AHT10temp
5,26,1650864236,AHT10temp
6,26,1650864837,AHT10temp
7,26,1650865438,AHT10temp
8,26,1650866039,AHT10temp
9,26,1650866641,AHT10temp
10,26,1650867242,AHT10temp
11,26,1650867843,AHT10temp
12,26,1650868444,AHT10temp
13,26,1650869045,AHT10temp
14,26,1650869646,AHT10temp
15,26,1650870247,AHT10temp
16,26,1650870848,AHT10temp
17,26,1650871450,AHT10temp
18,26,1650872051,AHT10temp
19,26,1650872652,AHT10temp
20,26,1650873253,AHT10temp
21,26,1650873854,AHT10temp
22,26,1650874455,AHT10temp
23,26,1650875056,AHT10temp
24,26,1650875657,AHT10temp
25,26,1650876258,AHT10temp
26,26,1650876859,AHT10temp
27,26,1650877461,AHT10temp
28,26,1650878062,AHT10temp
29,26,1650878663,AHT10temp
30,26,1650879264,AHT10temp
31,26,1650879865,AHT10temp
32,26,1650880466,AHT10temp
33,26,1650881067,AHT10temp
34,26,1650881668,AHT10temp
35,26,1650882270,AHT10temp
36,26,1650882871,AHT10temp
37,26,1650883473,AHT10temp
38,26,1650884074,AHT10temp
39,26,1650884675,AHT10temp
40,26,1650885276,AHT10temp
41,26,1650885877,AHT10temp
42,26,1650886478,AHT10temp
43,26,1650887079,AHT10temp
44,26,1650887680,AHT10temp
45,26,1650888281,AHT10temp
46,26,1650888883,AHT10temp
47,26,1650889484,AHT10temp
48,26,1650890085,AHT10temp
49,26,1650890686,AHT10temp
50,26,1650891287,AHT10temp
51,26,1650891888,AHT10temp
52,26,1650892489,AHT10temp
53,26,1650893090,AHT10temp
54,26,1650893691,AHT10temp
55,26,1650894293,AHT10temp
56,26,1650894894,AHT10temp
57,26,1650895495,AHT10temp
58,26,1650896096,AHT10temp
59,26,1650896697,AHT10temp
60,26,1650897298,AHT10temp
61,26,1650897899,AHT10temp
62,26,1650898500,AHT10temp
63,26,1650899101,AHT10temp
64,26,1650899702,AHT10temp
65,26,1650900304,AHT10temp
66,26,1650900905,AHT10temp
67,26,1650901506,AHT10temp
68,26,1650902107,AHT10temp
69,26,1650902708,AHT10temp
70,26,1650903309,AHT10temp
71,26,1650903910,AHT10temp
72,26,1650904511,AHT10temp
73,26,1650905112,AHT10temp
74,26,1650905714,AHT10temp
75,26,1650906315,AHT10temp
